icao_code,country_code,iata_code,lng,name,lat
LROP,RO,OTP,26.09,Henri Coanda International Airport,44.57
YMHB,AU,HBA,147.51,Hobart International Airport,-42.84
VHHH,HK,HKG,113.93,Hong Kong International Airport,22.31
EGNJ,GB,HUY,-0.35,Humberside Airport,53.58
LPPT,PT,LIS,-9.13,Lisbon Humberto Delgado Airport,38.78
SACO,AR,COR,-64.21,Pajas Blancas Airport,-31.32
EIKN,IE,NOC,-8.82,Ireland West Airport Knock,53.91
LTFM,TR,IST,28.74,Istanbul Airport,41.26
LTFJ,TR,SAW,29.31,Sabiha Goekcen International Airport,40.9
RKPC,KR,CJU,126.49,Jeju International Airport,33.51
LEJR,ES,XRY,-6.06,Jerez Airport,36.75
LPPD,PT,PDL,-25.7,Ponta Delgada-Joao Paulo II Airport,37.74
SEGU,EC,GYE,-79.88,Jose Joaquin de Olmedo International Airport,-2.15
UWKD,RU,KZN,49.29,Kazan International Airport,55.61
USSS,RU,SVX,60.8,Ekaterinburg Koltsovo Airport,56.75
WBKK,MY,BKI,116.05,Kota Kinabalu International Airport,5.93
DGAA,GH,ACC,-0.17,Kotoka International Airport,5.61
URKK,RU,KRR,39.15,Krasnodar International Airport,45.03
KLAR,US,LAR,-105.67,Laramie Regional Airport,41.31
EBLG,BE,LGG,5.45,Liege Airport,50.64
LFQQ,FR,LIL,3.1,Lille Airport,50.57
LJLJ,SI,LJU,14.46,Ljubljana Joze Pucnik Airport,46.23
EGSS,GB,STN,0.24,London Stansted Airport,51.89
LZIB,SK,BTS,17.21,Bratislava Airport,48.17
KEUG,US,EUG,-123.21,Mahlon Sweet Field,44.12
LRBM,RO,BAY,23.47,Baia Mare International Airport,47.66
SASA,AR,SLA,-65.48,Martin Miguel de Gueemes International Airport,-24.85
YMML,AU,MEL,144.84,Melbourne Airport,-37.67
GMMX,MA,RAK,-8.03,Menara Airport,31.61
LIME,IT,BGY,9.7,Il Caravaggio International Airport,45.67
URMM,RU,MRV,43.08,Mineralnye Vody Airport,44.22
UMMS,BY,MSQ,28.03,Minsk National Airport,53.88
GMMN,MA,CMN,-7.59,Mohammed V International Airport,33.37
EDDG,DE,FMO,7.69,Muenster Osnabrueck International Airport,52.13
OOMS,OM,MCT,58.28,Muscat International Airport,23.6
LFRS,FR,NTE,-1.61,Nantes Atlantique Airport,47.15
